Title,Release time,Age rating,Runtime,Language,IMDb Rating,IMDb Votes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Win,Nomination,Age rating quantification
Queen Rising,2024-06-18,R,85.0,English,7.6,24.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,0.0,4
The Ghost of Annie Lee,2024-02-19,NC-17,103.0,English,6.1,12430.665799739922,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,5
Cult Killer,2024-01-19,R,105.0,English,4.8,2354.0,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Hate to Love: Nickelback,2024-03-27,R,90.0,English,6.9,1029.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,4
A New Breed of Criminal,2023-09-11,PG-13,88.0,English,3.0,766.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
National Anthem,2024-10-18,R,99.0,English,6.1,1014.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,2.0,4
Yintah,2024-03-01,R,110.0,English,8.2,66.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,2.0,4
Arctic Hollow,2024-01-02,R,70.0,English,2.3,159.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.0,0.0,4
An American in Austen,2024-02-17,G,84.0,English,6.5,964.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,1
Stress Positions,2024-04-19,R,95.0,English,4.9,480.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,2.0,4
Get Fast,2024-11-15,R,88.0,English,6.1,12430.665799739922,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Protecting Paradise: The Story of Niue,2024-06-08,PG,45.0,English,6.5,67.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,2
Twas the Date Before Christmas,2024-10-18,G,84.0,English,6.1,12430.665799739922,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,1
Tòkunbò,2024-08-23,R,113.0,English,3.9,263.0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Parents for Christmas,2024-06-01,PG,76.0,English,6.1,12430.665799739922,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,2
My Little Nightmare,2024-04-08,PG-13,133.0,English,2.3,98.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,3
The John Perkins Tapes,2024-03-24,R,77.0,English,6.1,12430.665799739922,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
The Seeding,2024-01-26,R,100.0,English,5.0,1857.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2.0,6.0,4
Strictly Confidential,2024-04-05,R,94.0,English,2.9,703.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,4
Exhibiting Forgiveness,2024-10-18,R,122.0,English,7.3,215.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,2.0,4
The Fabulous Four,2024-07-26,R,99.0,English,4.7,829.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Jo Koy: Live from Brooklyn,2024-06-04,R,59.0,English,6.6,659.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Taylor Tomlinson: Have It All,2024-02-13,R,66.0,English,7.2,2075.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Boneyard,2024-07-05,R,96.0,English,4.2,2522.0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Dusty Slay: Workin' Man,2024-01-16,PG-13,69.0,English,6.9,484.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Down the Rabbit Hole,2024-05-01,R,103.0,Spanish,5.5,456.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Neal Brennan: Crazy Good,2024-04-09,R,53.0,English,7.2,1188.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Am I OK?,2024-06-06,R,86.0,English,6.0,8661.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2.0,1.0,4
Imaginary,2024-03-08,PG-13,104.0,English,4.7,14840.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,0.0,0.0,3
One More Shot,2024-01-12,R,102.0,English,5.4,3125.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,4
Darkness of Man,2024-05-21,R,108.0,English,4.4,1414.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,4
Matt Rife: Lucid - A Crowd Work Special,2024-08-13,R,54.0,English,6.4,1230.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Kill,2024-07-04,R,105.0,Hindi,7.6,29840.0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
The Piano Lesson,2024-11-08,PG-13,125.0,English,6.7,188.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Mothers' Instinct,2024-08-13,R,94.0,English,6.3,14320.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,4
Hold Your Breath,2024-10-03,R,94.0,English,5.3,5871.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.0,0.0,4
Y2K,2024-12-06,R,91.0,English,6.1,67.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.0,0.0,4
We Live in Time,2024-10-18,R,108.0,English,7.4,853.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,4
Oddity,2024-07-19,R,98.0,English,6.7,25158.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,5.0,1.0,4
The Grave,2024-03-05,PG-13,59.0,Ukrainian,6.1,12430.665799739922,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Bionic,2024-05-29,R,110.0,Portuguese,4.3,1542.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,4
She Taught Love,2024-09-27,R,102.0,English,6.6,131.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,4
Apartment 7A,2024-09-27,R,107.0,English,5.8,4735.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.0,0.0,4
Megalopolis,2024-09-27,R,138.0,English,5.1,16742.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,4
Upgraded,2024-02-09,R,105.0,English,6.1,25864.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,4
Space Cadet,2024-07-04,PG-13,110.0,"English, Russian",4.9,8677.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Problemista,2024-03-22,R,104.0,"English, Spanish",6.8,6519.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,4.0,4
Wild Wild Space,2024-07-17,R,94.0,English,6.8,448.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
The Six Triple Eight,2024-12-20,PG-13,127.0,English,6.1,12430.665799739922,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,3
Branching Out,2024-04-27,G,84.0,English,7.2,874.0,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,1
The Last Breath,2024-07-21,R,96.0,English,4.7,1292.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.0,0.0,4
Agak Laen,2024-02-01,PG-13,119.0,"Indonesian, Sign ",7.6,2363.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Reunion,2024-05-23,R,94.0,English,5.6,2274.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,4
I.S.S.,2024-01-19,R,96.0,"English, Russian",5.3,10439.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1.0,1.0,4
Kung Fu Panda 4,2024-03-08,PG,94.0,"Mandarin, Chinese, English",6.3,56025.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,2
Conclave,2024-10-25,PG,120.0,"English, Italian, Spanish, Latin",7.7,6112.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4.0,3.0,2
Amber Alert,2024-09-27,PG-13,91.0,English,5.9,2411.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,3
The Beach Boys,2024-05-24,PG-13,113.0,English,7.1,1758.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,3
