,Title,Release time,Age rating,Runtime,Genre,Lanuage,Awards,Metascore,IMDb Rating,IMDb Votes,Domestic Revenue
78,Cuckoo,09 Aug 2024,R,1h 42min,"Horror, Mystery, Thriller","English, German, French, American Sign ",1 win & 5 nominations,N/A,5.9,"12,869","$6,217,733"
79,Creating a Universe: The Making of Rebel Moon,19 Apr 2024,PG-13,28min,"Documentary, Short",English,N/A,N/A,6.5,168,N/A
80,Gladiator II,22 Nov 2024,R,2h 21min,"Action, Adventure, Drama",English,N/A,N/A,N/A,N/A,N/A
81,Devara Part 1,26 Sep 2024,PG-13,2h 56min,"Action, Drama, Thriller",Telugu,N/A,N/A,6.4,"12,211","$5,600,000"
82,The Crow,23 Aug 2024,R,1h 51min,"Action, Crime, Fantasy",English,N/A,N/A,4.7,"23,215","$9,275,659"
83,The Silent Hour,11 Oct 2024,R,1h 39min,"Crime, Thriller",English,N/A,N/A,N/A,7,N/A
84,"Lovely, Dark, and Deep",22 Feb 2024,R,1h 27min,Horror,English,1 nomination,N/A,4.9,"2,099",N/A
85,Blackwater Lane,21 Jun 2024,PG-13,1h 48min,"Crime, Drama, Horror",English,N/A,N/A,4.5,"1,116",N/A
86,The Last Stop in Yuma County,10 May 2024,R,1h 31min,"Crime, Thriller",English,3 wins & 1 nomination,N/A,6.9,"12,715","$94,344"
87,Storm Crashers,01 May 2024,PG,1h 28min,"Animation, Adventure, Family","Spanish, English",2 wins & 2 nominations,N/A,6.6,450,N/A
88,Sometimes I Think About Dying,12 Mar 2024,PG-13,1h 34min,"Comedy, Drama, Romance",English,2 wins & 3 nominations,66,6.5,"4,606","$130,457"
89,Emilia Pérez,13 Nov 2024,R,2h 13min,"Comedy, Crime, Musical","Spanish, English, French",11 wins & 6 nominations,N/A,7.4,"3,097",N/A
90,Latency,14 Jun 2024,R,1h 34min,"Action, Horror, Thriller",English,N/A,N/A,4.1,"1,350",N/A
91,Sasquatch Sunset,19 Apr 2024,R,1h 28min,"Action, Adventure, Comedy",English,1 nomination,N/A,5.5,"4,141","$1,008,662"
92,Tim Dillon: This Is Your Country,01 Oct 2024,R,47min,Comedy,English,N/A,N/A,6.8,533,N/A
93,The American Society of Magical Negroes,15 Mar 2024,PG-13,1h 45min,"Comedy, Fantasy",English,1 win,N/A,3.5,"10,777","$2,480,645"
94,Sing Sing,02 Aug 2024,R,1h 47min,Drama,English,5 wins & 5 nominations,N/A,7.9,"3,939","$2,403,211"
95,Kensuke's Kingdom,18 Oct 2024,PG,1h 25min,"Animation, Adventure","English, Japanese",12 wins & 2 nominations,N/A,7.3,365,N/A
96,Armor,21 Nov 2024,R,1h 29min,"Action, Crime, Thriller",English,N/A,N/A,N/A,N/A,N/A
97,The Tiger's Apprentice,02 Feb 2024,PG,1h 24min,"Animation, Action, Adventure",English,N/A,N/A,5.7,"1,856",N/A
98,Fancy Dance,28 Jun 2024,R,1h 30min,Drama,English,12 wins & 4 nominations,84,6.6,"3,217",N/A
99,The Exorcism,21 Jun 2024,R,1h 35min,"Horror, Thriller",English,N/A,N/A,4.1,"8,270","$4,530,418"
100,Hijack 1971,21 Jun 2024,R,1h 40min,"Action, Crime, Thriller",Korean,N/A,N/A,6.9,"2,093","$242,069"
101,Afraid,30 Aug 2024,PG-13,1h 25min,"Horror, Mystery, Sci-Fi",English,N/A,N/A,5.1,"6,894","$6,725,687"
102,Untold: The Murder of Air McNair,20 Aug 2024,PG-13,58min,"Documentary, Sport",English,N/A,N/A,5.6,"1,597",N/A
103,The Red Virgin,27 Sep 2024,R,1h 54min,Mystery,"Spanish, English, French",N/A,N/A,N/A,139,N/A
104,Bray Wyatt: Becoming Immortal,01 Apr 2024,PG-13,2h 3min,"Documentary, Biography, Sport",English,N/A,N/A,8.5,662,N/A
105,Tokyo Cowboy,30 Aug 2024,PG,1h 58min,Drama,"Japanese, English",9 wins,N/A,8.4,86,"$21,741"
106,Julia tiene Sugar,14 Feb 2024,R,1h 39min,Comedy,Spanish,N/A,N/A,N/A,6,N/A
107,Gumbo 2,05 Apr 2024,R,1h 24min,"Action, Crime, Drama",English,N/A,N/A,N/A,6,N/A
108,Shirley,22 Mar 2024,PG-13,1h 57min,"Biography, Drama, History",English,1 win,N/A,6.2,"2,851",N/A
109,The Holiday Exchange,01 Oct 2024,PG-13,1h 30min,Romance,N/A,N/A,N/A,N/A,54,N/A
110,The Turnaround,18 Oct 2024,R,25min,Short,N/A,N/A,N/A,N/A,N/A,N/A
111,Don't Break the Rules,01 Nov 2024,R,1h 37min,Horror,English,N/A,N/A,N/A,N/A,N/A
112,Ellen DeGeneres: For Your Approval,24 Sep 2024,R,1h 10min,Comedy,English,N/A,N/A,N/A,"1,737",N/A
113,The Beach House Murders,17 Feb 2024,PG-13,1h 25min,Thriller,English,N/A,N/A,5.0,188,N/A
114,Clear Cut,19 Jul 2024,R,1h 28min,Thriller,English,N/A,N/A,5.1,86,N/A
115,Running on Empty,27 Aug 2024,R,1h 31min,Comedy,English,N/A,N/A,4.8,292,N/A
116,The Real Bros of Simi Valley: The Movie,05 Jul 2024,PG-13,1h 45min,Comedy,English,N/A,N/A,7.1,918,N/A
117,Lousy Carter,29 Mar 2024,R,1h 20min,Comedy,English,3 nominations,N/A,6.0,687,"$11,236"
118,Peter Five Eight,23 Apr 2024,R,1h 40min,"Comedy, Drama, Thriller",English,N/A,N/A,3.5,999,N/A
119,She Came Back,2024,R,1h 23min,Thriller,English,N/A,N/A,N/A,50,N/A
120,Mea Culpa,23 Feb 2024,R,2h 0min,"Crime, Drama, Thriller",English,N/A,N/A,4.2,"6,344",N/A
121,The Jane Mysteries: Murder at Moseby,19 Sep 2024,G,1h 24min,Mystery,N/A,N/A,N/A,N/A,136,N/A
122,The Blue Angels,23 May 2024,G,1h 33min,Documentary,English,N/A,N/A,7.3,"2,440","$2,560,945"
123,Loco Ghosts,04 Apr 2024,PG-13,52min,Documentary,English,N/A,N/A,N/A,N/A,N/A
124,Treasure Trackers,01 Oct 2024,PG,1h 32min,"Adventure, Family",English,N/A,N/A,6.8,33,N/A
125,Olivia Rodrigo: GUTS World Tour,29 Oct 2024,PG-13,1h 45min,"Documentary, Music",English,N/A,N/A,N/A,N/A,N/A
126,Untold: Sign Stealer,27 Aug 2024,R,1h 28min,"Documentary, Sport",English,N/A,N/A,N/A,N/A,N/A
127,The Practice,2024,PG-13,Null1h 29min,Comedy,N/A,N/A,N/A,N/A,N/A,N/A
128,Bolt from the Blue,29 Oct 2023,PG,1h 30min,"Adventure, Comedy, Sci-Fi",English,N/A,N/A,6.5,6,N/A
129,Hannah Einbinder: Everything Must Go,13 Jun 2024,R,55min,Comedy,N/A,N/A,N/A,6.3,783,N/A
130,Kids Are Growing Up,29 Feb 2024,R,1h 25min,Documentary,English,N/A,N/A,6.7,248,N/A
131,Nice Girls,21 Aug 2024,R,1h 32min,"Action, Comedy, Crime",French,N/A,N/A,4.1,986,N/A
132,The Time Travel Hills,12 Jul 2024,NC-17,1h 22min,Fantasy,English,N/A,N/A,N/A,N/A,N/A
133,Ghostlight,14 Jun 2024,R,1h 55min,"Comedy, Drama",English,2 wins & 6 nominations,N/A,7.5,"3,190","$697,229"
134,He Killed in Ecstasy,23 Mar 2024,R,1h 20min,Horror,English,N/A,N/A,N/A,N/A,N/A
135,Winter Spring Summer or Fall,05 Sep 2024,R,1h 37min,"Drama, Romance",English,N/A,N/A,6.5,241,N/A
136,Road Diary: Bruce Springsteen and the E Street Band,25 Oct 2024,R,1h 39min,"Documentary, Biography",English,1 nomination,N/A,N/A,13,N/A
137,A Sprinkle of Deceit: A Hannah Swensen Mystery,04 Oct 2024,PG,2h 0min,"Crime, Mystery",English,N/A,N/A,6.5,342,N/A
138,Vindicating Trump,27 Sep 2024,PG-13,1h 36min,Documentary,English,N/A,N/A,3.6,"1,126","$1,369,019"
139,Gilded Newport Mysteries: Murder at the Breakers,02 Feb 2024,PG,1h 24min,Mystery,English,2 wins & 2 nominations,N/A,5.4,621,N/A
140,Frida,14 Mar 2024,R,1h 27min,"Documentary, Animation",Spanish,1 win & 8 nominations,N/A,7.5,"1,108",N/A
141,Mobile Suit Gundam SEED Freedom,26 Jan 2024,R,2h 4min,"Animation, Action, Adventure",Japanese,N/A,N/A,6.8,766,N/A
142,The Twisters,04 Dec 2024,PG-13,1h 27min,"Action, Adventure, Drama",English,N/A,N/A,2.5,248,N/A
143,Madu,29 Mar 2024,PG,1h 41min,"Documentary, Biography",English,N/A,N/A,5.3,245,N/A
144,Founders Day,19 Jan 2024,R,1h 47min,"Comedy, Horror, Mystery",English,1 win,N/A,4.3,"1,926",N/A
145,Atlas,24 May 2024,PG-13,1h 58min,"Action, Adventure, Drama",English,1 win & 2 nominations,N/A,5.6,"51,269",N/A
146,Meet Me Next Christmas,06 Nov 2024,PG,1h 45min,"Comedy, Romance",English,N/A,N/A,N/A,N/A,N/A
147,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,23 Feb 2024,R,1h 43min,"Animation, Action",Japanese,N/A,N/A,7.0,"7,305","$17,657,658"
148,An Almost Christmas Story,15 Nov 2024,G,21min,"Animation, Short, Adventure",English,N/A,N/A,N/A,N/A,N/A
149,Anora,17 Oct 2024,R,2h 20min,"Comedy, Drama, Romance","English, Russian",1 win & 2 nominations,N/A,8.1,"1,268",N/A
150,My Old Ass,13 Sep 2024,R,1h 29min,Comedy,English,N/A,N/A,7.5,"3,413","$5,224,881"
151,Surveilled,20 Nov 2024,PG-13,1h 0min,Documentary,English,N/A,N/A,N/A,N/A,N/A
152,Tigers on the Rise,22 Apr 2024,PG,1h 18min,Documentary,English,N/A,N/A,6.9,193,N/A
153,Albany Road,15 Nov 2024,PG-13,2h 15min,"Drama, Romance",English,N/A,N/A,8.1,43,N/A
154,The Contestant,02 May 2024,R,1h 31min,Documentary,"English, Japanese",4 nominations,N/A,7.2,"2,146",N/A
155,May the 12th Be with You,10 May 2024,PG,5min,"Animation, Short, Comedy",English,N/A,N/A,4.6,588,N/A
156,Monster Summer,04 Oct 2024,PG-13,1h 37min,"Adventure, Horror, Mystery",English,N/A,N/A,N/A,N/A,N/A
157,Uprising,11 Oct 2024,R,2h 6min,"Action, Drama, History",Korean,N/A,N/A,6.6,"1,550",N/A
158,Maria,11 Dec 2024,R,2h 4min,"Biography, Drama, Music",English,1 nomination,N/A,6.2,499,N/A
159,Hijack '93,25 Oct 2024,PG-13,1h 26min,"Drama, Thriller",N/A,N/A,N/A,N/A,N/A,N/A
160,Get Away,06 Dec 2024,R,1h 30min,Horror,English,1 nomination,N/A,N/A,66,N/A
161,The Remarkable Life of Ibelin,25 Oct 2024,PG-13,1h 43min,"Documentary, Animation, Biography","Norwegian, English, Danish",7 wins & 13 nominations,N/A,8.5,838,N/A
162,Don't Move,25 Oct 2024,R,1h 32min,"Horror, Thriller",English,N/A,N/A,N/A,N/A,N/A
163,Campton Manor,07 May 2024,R,1h 23min,"Horror, Mystery, Thriller",English,2 wins & 1 nomination,N/A,3.9,124,N/A
164,True Detective,12 Jan 2014,PG,1h 30min,"Crime, Drama, Mystery",English,Won 6 Primetime Emmys. 37 wins & 143 nominations total,N/A,8.9,"674,077",N/A
165,The Last Repair Shop,08 Nov 2023,PG,40min,"Documentary, Short, Music",English,Won 1 Oscar. 2 wins & 5 nominations total,N/A,7.4,"2,970",N/A
166,Fly,25 Sep 2024,R,1h 53min,Documentary,English,1 nomination,N/A,7.3,340,N/A
167,The Stoic,18 Oct 2024,R,1h 36min,Thriller,English,N/A,N/A,N/A,N/A,N/A
168,Bird of Paradise,2024,R,1h 30min,"Mystery, Thriller",English,N/A,N/A,N/A,N/A,N/A
169,Rhino Man,2024,PG-13,1h 36min,Documentary,English,N/A,N/A,N/A,N/A,N/A
170,Snack Shack,02 Apr 2024,R,1h 52min,Comedy,English,1 nomination,N/A,7.0,"7,871","$455,708"
171,La Cocina,07 Nov 2024,R,2h 19min,Drama,"English, Spanish",3 wins & 10 nominations,N/A,7.3,423,N/A
172,Peak Season,08 Aug 2024,PG-13,1h 22min,"Comedy, Drama, Romance",English,1 win,N/A,6.6,496,N/A
173,Irish Wish,15 Mar 2024,PG,1h 34min,"Comedy, Fantasy, Romance",English,1 win,N/A,5.2,"18,321",N/A
174,Stopmotion,15 Mar 2024,R,1h 34min,Horror,English,2 wins & 2 nominations,N/A,5.6,"7,250","$789,226"
175,Gharat Ganpati,26 Jul 2024,G,2h 19min,Family,Marathi,N/A,N/A,9.3,96,N/A
176,Strange Darling,23 Aug 2024,R,1h 37min,"Horror, Thriller",English,2 wins & 3 nominations,N/A,7.2,"17,514","$3,083,595"
177,The Bad Shepherd,23 Feb 2024,R,1h 31min,Thriller,English,N/A,N/A,4.6,227,N/A
178,The Long Game,12 Apr 2024,PG,1h 52min,"Drama, History, Sport",English,4 wins & 2 nominations,N/A,6.8,"5,716","$3,060,040"
179,The Clean Up Crew,11 Sep 2024,R,1h 35min,"Action, Crime, Thriller",English,N/A,N/A,4.3,750,N/A
180,The Curse of the Necklace,01 Oct 2024,R,1h 35min,Horror,N/A,N/A,N/A,4.5,614,N/A
181,Little Bites,04 Oct 2024,R,1h 45min,Horror,English,N/A,N/A,N/A,14,N/A
182,Katt Williams: Woke Foke,04 May 2024,R,1h 0min,"Documentary, Comedy",English,N/A,N/A,5.1,926,N/A
183,Illusions for Sale: The Rise and Fall of Generation Zoe,23 May 2024,R,1h 48min,"Documentary, Crime",Spanish,N/A,N/A,6.2,530,N/A
184,50 km/h,04 Jan 2024,R,1h 50min,Comedy,Italian,N/A,N/A,6.0,480,$543
185,Damaged,06 Sep 2024,R,1h 38min,"Action, Crime, Drama",English,N/A,N/A,4.6,"5,778",N/A
186,We Grown Now,11 Oct 2023,PG,1h 35min,Drama,English,3 wins & 7 nominations,N/A,6.7,861,"$296,535"
187,My Penguin Friend,16 Aug 2024,PG,1h 37min,"Adventure, Drama, Family",English,1 win,N/A,6.7,"2,510","$2,767,623"
188,Skincare,16 Aug 2024,R,1h 36min,Thriller,English,1 nomination,N/A,5.8,"2,664","$456,590"
189,The Outlaws,22 Jul 2024,R,1h 18min,"Crime, Drama, Mystery",English,N/A,N/A,N/A,35,N/A
190,No Way Up,16 Feb 2024,R,1h 30min,"Action, Adventure, Drama",English,N/A,N/A,4.6,"7,864","$148,582"
191,Lee,13 Sep 2024,R,1h 57min,"Biography, Drama, History","English, French",2 nominations,N/A,6.9,"8,578","$1,919,913"
192,Which Brings Me to You,19 Jan 2024,PG-13,1h 38min,Romance,English,N/A,N/A,5.6,"3,394",N/A
193,Long Gone Heroes,20 Sep 2024,R,2h 4min,"Action, Crime, Drama",English,N/A,N/A,5.1,551,N/A
194,You'll Never Find Me,22 Mar 2024,R,1h 40min,"Horror, Thriller",English,2 wins & 1 nomination,N/A,5.8,"6,771",N/A
195,Longlegs,12 Jul 2024,R,1h 41min,"Crime, Horror, Thriller",English,N/A,N/A,6.8,"121,354","$74,045,655"
196,Wolfs,27 Sep 2024,R,1h 48min,"Crime, Thriller",English,1 win,N/A,6.5,"38,667",N/A
197,Horizon: An American Saga - Chapter 1,28 Jun 2024,R,1h 32min,"Drama, Western",English,N/A,N/A,6.7,"28,656","$29,035,702"
198,Despicable Me 4,03 Jul 2024,PG,1h 34min,"Animation, Adventure, Comedy",English,N/A,N/A,6.2,"45,702","$361,004,205"
199,Child Star,17 Sep 2024,R,1h 38min,Documentary,English,N/A,N/A,6.7,959,N/A
200,The Fire Inside,25 Dec 2024,PG-13,1h 49min,"Biography, Drama, Sport",English,1 win & 1 nomination,N/A,N/A,73,N/A
201,Ordinary Angels,23 Feb 2024,PG,1h 58min,Drama,English,N/A,N/A,7.4,"11,528","$19,174,421"
202,Tom Papa: Home Free,29 Oct 2024,PG-13,1h 2min,"Documentary, Comedy",English,N/A,N/A,N/A,N/A,N/A
203,Girls State,05 Apr 2024,PG-13,1h 35min,Documentary,English,Won 2 Primetime Emmys. 2 wins & 3 nominations total,N/A,6.6,842,N/A
204,The Dead Don't Hurt,31 May 2024,R,2h 10min,"Drama, Western","English, Spanish, French, Danish",1 nomination,N/A,6.4,"5,516","$752,964"
205,Unsinkable,12 Apr 2024,PG,1h 40min,"Drama, History",English,N/A,N/A,5.7,119,N/A
206,The Bloody Hundredth,15 Mar 2024,PG-13,1h 3min,Documentary,English,N/A,N/A,7.5,"1,854",N/A
207,"Rock, Paper, Scissors",2024,R,1h 42min,Thriller,English,1 win & 2 nominations,N/A,N/A,15,N/A
208,Paddington in Peru,17 Jan 2025,PG,1h 46min,"Adventure, Comedy, Family",English,N/A,N/A,N/A,N/A,N/A
209,Justice League: Crisis on Infinite Earths - Part Two,23 Apr 2024,PG-13,1h 34min,"Animation, Action, Adventure",English,N/A,N/A,5.5,"4,202",N/A
210,The Fall Guy,03 May 2024,PG-13,2h 6min,"Action, Comedy, Drama",English,1 win & 11 nominations,N/A,6.9,"166,363","$92,900,355"
211,Hikaru Utada: Laughter in the Dark Tour 2018,27 Jun 2019,G,2h 21min,"Documentary, Music",Japanese,N/A,N/A,8.0,124,N/A
212,Wynonna Earp: Vengeance,13 Sep 2024,R,1h 36min,"Action, Thriller",English,N/A,N/A,5.9,"1,106",N/A
213,Civil War,12 Apr 2024,R,1h 49min,"Action, Adventure, Thriller",English,18 nominations,N/A,7.0,"173,965","$68,603,430"
214,Alien: Romulus,16 Aug 2024,R,1h 59min,"Horror, Sci-Fi, Thriller",English,1 win & 3 nominations,N/A,7.2,"136,717","$105,309,610"
215,Shark Beach with Anthony Mackie,01 Jul 2024,PG,1h 0min,Documentary,English,N/A,N/A,N/A,94,N/A
216,Wild Eyed and Wicked,11 Jun 2024,PG-13,1h 39min,"Drama, Fantasy, Horror",English,N/A,N/A,3.5,513,N/A
217,A Body to Kill for 2,02 Feb 2024,NC-17,1h 0min,Drama,English,N/A,N/A,N/A,N/A,N/A
218,Good One: A Show About Jokes,26 Mar 2024,R,45min,Documentary,English,N/A,N/A,N/A,148,N/A
