Title,Release time,Age rating,Runtime,Genre,Lanuage,Awards,Metascore,IMDb Rating,IMDb Votes,Domestic Revenue
Amore mio,01 Feb 2023,PG-13,1h 20min,Drama,French,1 win & 2 nominations,N/A,N/A,86,N/A
Blackout Christmas,04 Dec 2023,PG-13,51min,Documentary,English,N/A,N/A,N/A,N/A,N/A
Flying High Again,15 Oct 2023,PG,55min,Documentary,English,N/A,N/A,N/A,N/A,N/A
Ravrambha,26 May 2023,PG,2h 12min,"Action, Drama, History",Marathi,N/A,N/A,6.6,146,N/A
The Vigilante,08 Sep 2023,R,1h 40min,Thriller,N/A,N/A,N/A,4.7,612,N/A
Weekdays & Weekends,2023,PG,1h 18min,Drama,Hindi,N/A,N/A,N/A,N/A,N/A
The Adventures of Jurassic Pet: The Lost Secret,01 Jun 2023,PG,1h 24min,"Adventure, Family",English,N/A,N/A,4.2,229,N/A
That Afternoon,18 May 2023,PG-13,1h 15min,Drama,Dutch,1 nomination,N/A,N/A,93,N/A
Shark Below Zero,02 Jul 2023,PG,44min,Documentary,N/A,N/A,N/A,N/A,44,N/A
Queen of Many Colours,2023,PG-13,1h 2min,Documentary,English,N/A,N/A,N/A,N/A,N/A
The Author,07 Nov 2023,PG,1h 58min,"Drama, Mystery, Romance",English,N/A,N/A,N/A,N/A,N/A
The Holiday Dating Guide,17 Dec 2022,G,1h 30min,"Comedy, Drama, Romance",English,N/A,N/A,6.2,476,N/A
The Whaler,30 Aug 2023,PG-13,50min,Documentary,English,N/A,N/A,N/A,N/A,N/A
Yuletide the Knot,13 Nov 2023,G,1h 32min,Romance,English,N/A,N/A,5.2,243,N/A
A Royal Date for Christmas,25 Nov 2023,G,1h 24min,"Comedy, Romance",English,N/A,N/A,6.3,471,N/A
Daughter of the Bride,03 Feb 2023,PG-13,1h 42min,Comedy,English,N/A,N/A,5.5,630,N/A
Khun Pan 3,01 Mar 2023,R,2h 25min,"Action, Fantasy",Thai,N/A,N/A,N/A,253,N/A
Blue Lightning,01 Jan 2023,G,1h 17min,"Family, Sport",English,N/A,N/A,8.0,11,N/A
Esther and the Law,26 Mar 2023,PG-13,1h 12min,Documentary,"Yoruba, Dutch, English",1 nomination,N/A,N/A,N/A,N/A
What If,07 Sep 2023,R,1h 52min,"Drama, Romance","Tagalog, Filipino",3 nominations,N/A,N/A,158,N/A
The Flood,14 Jul 2023,R,1h 33min,"Action, Horror, Thriller",English,N/A,N/A,3.2,"2,097",N/A
Samurai Priest Vampire Hunter,01 Nov 2009,R,1h 34min,"Action, Horror, Western",English,N/A,N/A,4.0,357,N/A
Chal Zindagi,26 May 2023,PG-13,2h 10min,"Adventure, Drama",Hindi,N/A,N/A,N/A,N/A,N/A
Quasi,20 Apr 2023,R,1h 40min,"Comedy, Drama",English,N/A,51,5.3,"3,173",N/A
Assassin,31 Mar 2023,R,1h 28min,"Action, Crime, Thriller","English, Persian",N/A,N/A,3.2,"1,559",N/A
The Strays,22 Feb 2023,R,1h 40min,"Drama, Mystery, Thriller",English,1 win,58,4.9,"12,451",N/A
Somebody I Used to Know,10 Feb 2023,R,1h 46min,"Comedy, Romance",English,1 win,57,5.7,"8,754",N/A
Bama Rush,23 May 2023,R,1h 40min,Documentary,English,N/A,N/A,4.2,"2,034",N/A
Love's Greek to Me,10 Jun 2023,G,1h 24min,Romance,"English, Greek",N/A,N/A,5.9,920,N/A
Bring Him to Me,23 Feb 2024,R,1h 36min,"Crime, Thriller",English,1 win,N/A,5.3,"3,079","$2,301"
Alice in Terrorland,28 Dec 2023,PG-13,1h 17min,Horror,English,N/A,N/A,2.8,"1,433",N/A
Josh Johnson: Up Here Killing Myself,17 Feb 2023,R,1h 0min,Comedy,N/A,N/A,N/A,7.2,169,N/A
Soppana Sundari,14 Apr 2023,G,1h 57min,"Comedy, Drama, Thriller",Tamil,N/A,N/A,6.3,"1,010",N/A
The Gates,27 Jun 2023,R,1h 51min,"Horror, Thriller",English,N/A,N/A,4.6,824,N/A
Blackout,12 Apr 2024,R,1h 47min,Horror,English,3 wins,N/A,5.2,554,N/A
My Christmas Guide,02 Nov 2023,G,1h 24min,Romance,English,1 nomination,N/A,7.2,"1,078",N/A
A Heidelberg Holiday,12 Nov 2023,G,1h 24min,"Comedy, Drama, Family",English,N/A,N/A,6.8,952,N/A
Squealer,03 Nov 2023,R,1h 39min,"Action, Horror, Thriller",English,N/A,N/A,3.4,740,N/A
Holiday Hotline,19 Nov 2023,G,1h 24min,Romance,English,1 nomination,N/A,6.8,"1,237",N/A
Flipping for Christmas,03 Nov 2023,G,1h 25min,Romance,English,N/A,N/A,5.9,825,N/A
Maxine's Baby: The Tyler Perry Story,17 Nov 2023,PG-13,1h 55min,"Documentary, Biography",English,1 nomination,N/A,7.6,515,N/A
Stars Fell Again,03 Feb 2023,PG-13,1h 28min,"Comedy, Romance",English,N/A,N/A,N/A,260,N/A
Believer 2,17 Nov 2023,R,1h 56min,"Action, Crime, Thriller",Korean,N/A,N/A,5.6,"1,897",N/A
"New Year, New Us 2: #LoveGoals",01 Dec 2023,R,2h 15min,Drama,English,N/A,N/A,N/A,N/A,N/A
Curious Caterer: Grilling Season,05 Feb 2023,PG,1h 24min,"Crime, Mystery",English,3 nominations,N/A,6.6,835,N/A
Jim Jefferies: High n' Dry,14 Feb 2023,R,1h 8min,"Documentary, Comedy",English,1 nomination,N/A,7.1,"2,669",N/A
Mystery on Mistletoe Lane,09 Nov 2023,G,1h 24min,Mystery,English,3 nominations,N/A,7.0,"1,236",N/A
Christmas with the Chosen: Holy Night,12 Dec 2023,PG,1h 44min,Music,English,N/A,N/A,7.3,416,"$4,676,000"
Daniel,20 Dec 2023,PG,1h 15min,"Documentary, Adventure, Biography","Maya, Spanish, English",N/A,N/A,7.6,501,N/A
A Picture of Her,26 Mar 2023,G,1h 24min,Romance,English,1 win,N/A,6.7,"1,273",N/A
Reggie,24 Mar 2023,PG-13,1h 44min,"Documentary, Sport",English,1 nomination,N/A,7.0,831,N/A
Making of 'The Last of Us',14 Mar 2023,PG-13,31min,Documentary,English,N/A,N/A,N/A,213,N/A
Headspace,15 Sep 2023,PG,1h 25min,"Animation, Action, Adventure",N/A,N/A,N/A,4.7,258,N/A
The Wedding Cottage,15 Apr 2023,G,1h 24min,"Comedy, Drama, Romance",English,N/A,N/A,7.1,"1,310",N/A
The Quest for Tom Sawyer's Gold,28 Mar 2023,PG,1h 28min,"Adventure, Family",English,N/A,N/A,4.2,"2,639",N/A
Deep Sea,24 Nov 2023,PG-13,1h 52min,"Animation, Adventure, Drama",Mandarin,4 wins & 8 nominations,N/A,6.7,"2,185","$9,575"
Boonie Bears: Guardian Code,22 Jan 2023,PG,1h 34min,"Animation, Adventure, Comedy","Mandarin, English, Chinese",2 wins & 1 nomination,N/A,6.4,186,N/A
Super Drunk,30 Aug 2023,PG-13,1h 22min,Comedy,French,N/A,N/A,N/A,208,N/A
Mooned,22 Dec 2023,PG,9min,"Animation, Short, Comedy",English,N/A,N/A,6.1,"1,249",N/A
A Revolution on Canvas,05 Mar 2024,PG-13,1h 35min,"Documentary, Thriller","English, Persian",1 win,N/A,7.3,110,N/A
Spy Kids: Armageddon,22 Sep 2023,PG,1h 34min,"Action, Comedy, Family",English,N/A,N/A,4.3,"3,604",N/A
Ocean Deep,22 Sep 2023,R,1h 30min,Mystery,English,N/A,N/A,5.2,53,N/A
JFK: What the Doctors Saw,14 Nov 2023,PG,1h 32min,"Documentary, History",English,N/A,N/A,7.5,661,N/A
Metalocalypse: Army of the Doomstar,06 Apr 2024,R,1h 23min,Animation,English,N/A,N/A,6.4,"1,223",N/A
Alimañas,27 Oct 2023,R,1h 24min,Comedy,Spanish,1 nomination,N/A,4.9,459,N/A
Get Close,03 Mar 2023,R,1h 39min,"Action, Crime",English,N/A,N/A,N/A,56,N/A
Hammarskjöld: Fight for Peace,25 Dec 2023,PG-13,1h 54min,"Biography, Drama, Thriller","Swedish, French, English",2 wins & 7 nominations,N/A,6.6,"2,387",N/A
Syif Malam,07 Dec 2023,R,1h 41min,"Comedy, Horror",Malay,N/A,N/A,N/A,N/A,N/A
Call Me Chihiro,23 Feb 2023,PG-13,2h 11min,Drama,Japanese,N/A,N/A,6.9,"3,757",N/A
A Cowboy Christmas,07 Nov 2023,PG-13,1h 22min,Drama,English,N/A,N/A,N/A,51,N/A
Mojave Diamonds,30 May 2023,R,1h 40min,"Action, Thriller",English,N/A,N/A,2.9,392,N/A
Roadkill,23 May 2023,R,1h 33min,"Action, Drama, Thriller",English,N/A,N/A,4.4,401,N/A
Paint,07 Apr 2023,PG-13,1h 36min,"Comedy, Drama",English,1 nomination,45,5.0,"5,643","$811,739"
Luther: The Fallen Sun,10 Mar 2023,R,2h 9min,"Action, Crime, Drama","English, Estonian, Portuguese",2 wins,53,6.4,"67,366",N/A
Shortcomings,04 Aug 2023,R,1h 32min,"Comedy, Drama, Romance",English,4 nominations,65,6.4,"3,901","$675,257"
Good Grief,05 Jan 2024,R,1h 41min,"Comedy, Drama, Romance",English,1 win,N/A,6.4,"11,035",N/A
Mile Marker 12,2023,R,1h 30min,Thriller,N/A,N/A,N/A,N/A,N/A,N/A
The Wonder Weeks,09 Jun 2023,R,1h 50min,"Comedy, Drama",Dutch,N/A,N/A,4.7,774,N/A
Soul Mates,12 Apr 2023,R,1h 35min,"Horror, Thriller",English,N/A,N/A,4.9,674,"$95,507"
Fingernails,03 Nov 2023,R,1h 53min,"Drama, Romance, Sci-Fi",English,2 wins & 8 nominations,N/A,5.8,"8,796",N/A
Fall Into Winter,28 Jan 2023,G,1h 25min,"Comedy, Romance",English,N/A,N/A,5.5,"1,291",N/A
The Perfect Find,23 Jun 2023,R,1h 39min,"Comedy, Drama, Romance",English,1 win & 4 nominations,57,5.2,"3,379",N/A
Silent as the Grave,27 Jul 2023,R,1h 32min,"Crime, Drama, Mystery",N/A,N/A,N/A,4.8,149,N/A
Love Is in the Air,28 Sep 2023,PG-13,1h 28min,"Comedy, Drama, Romance",English,N/A,N/A,5.6,"4,472",N/A
Sea Monsters,2023,G,1h 12min,Animation,English,N/A,N/A,5.9,81,N/A
Tin & Tina,26 May 2023,R,1h 59min,"Horror, Mystery, Thriller",Spanish,3 wins & 3 nominations,N/A,4.7,"7,746",N/A
Now and Then - The Last Beatles Song,02 Nov 2023,PG,13min,"Documentary, Short, Biography",English,1 nomination,N/A,7.7,699,N/A
Mae Martin: SAP,28 Mar 2023,R,1h 10min,Comedy,English,N/A,N/A,6.3,"1,047",N/A
Bebe Zahara Benet: Africa Is Not a Country,02 May 2023,R,52min,Comedy,English,N/A,N/A,4.8,23,N/A
Heir of the Witch,04 Aug 2023,R,1h 35min,"Horror, Thriller",English,N/A,N/A,6.0,385,N/A
Kandasamys: The Baby,20 Oct 2023,PG-13,1h 33min,Comedy,English,N/A,N/A,4.8,220,N/A
Under the Boardwalk,07 Nov 2023,PG,1h 23min,"Animation, Adventure, Comedy",English,N/A,N/A,5.9,944,N/A
Cyberbunker: The Criminal Underworld,08 Nov 2023,PG-13,1h 42min,"Documentary, Crime",German,N/A,N/A,6.4,"1,567",N/A
Bye Bye Barry,21 Nov 2023,R,1h 33min,"Documentary, Sport",English,N/A,N/A,7.7,"2,103",N/A
Kho Gaye Hum Kahan,26 Dec 2023,PG-13,2h 15min,"Comedy, Drama, Romance",Hindi,5 wins & 26 nominations,N/A,7.4,"30,516",N/A
Death on the Border,03 Nov 2023,R,1h 35min,"Crime, Drama, Mystery",English,N/A,N/A,3.6,308,N/A
Of an Age,07 Apr 2023,R,1h 40min,"Drama, Romance","English, Serbian",2 wins & 9 nominations,69,7.1,"4,497","$556,585"
Voices Rising: The Music of Wakanda Forever,28 Feb 2023,PG,58min,"Documentary, Music",English,N/A,N/A,N/A,186,N/A
Somewhere in Queens,21 Apr 2023,R,1h 46min,"Comedy, Drama, Sport",English,2 nominations,61,6.8,"5,528","$1,802,442"
Tonight You're Sleeping with Me,01 Mar 2023,R,1h 33min,"Drama, Romance",Polish,N/A,N/A,3.8,"1,144",N/A
Unknown: Cave of Bones,17 Jul 2023,PG,1h 33min,Documentary,English,N/A,N/A,6.7,"2,497",N/A
Golda,25 Aug 2023,PG-13,1h 40min,"Biography, Drama, History","English, Hebrew, Arabic",Nominated for 1 Oscar. 1 win & 10 nominations total,51,5.9,"13,354","$4,801,781"
Old Dads,20 Oct 2023,R,1h 44min,Comedy,English,N/A,N/A,6.2,"42,988",N/A
Pillow Party Massacre,15 Apr 2023,R,1h 27min,Horror,English,1 win,N/A,3.2,440,N/A
Cocaine Bear: The True Story,14 Apr 2023,PG-13,52min,Documentary,English,N/A,N/A,N/A,337,N/A
Village,16 Jun 2023,R,2h 0min,Drama,Japanese,N/A,N/A,5.8,889,N/A
Olvido y León,03 Mar 2023,R,1h 47min,Drama,Spanish,1 nomination,N/A,5.7,66,N/A
A Million Miles Away,15 Sep 2023,PG,2h 1min,"Biography, Drama",English,5 wins & 6 nominations,N/A,7.3,"23,401",N/A
Love at First Sight,15 Sep 2023,PG-13,1h 31min,"Drama, Romance",English,2 wins & 1 nomination,N/A,6.8,"36,028",N/A
The Piper,27 Oct 2023,R,1h 45min,"Fantasy, Horror","English, German",N/A,N/A,4.7,360,N/A
Knights of the Zodiac,12 May 2023,PG-13,1h 53min,"Action, Adventure, Drama",English,1 nomination,35,4.4,"14,492","$1,090,155"
Ageless Love,07 Feb 2023,PG,1h 39min,Romance,English,3 wins & 5 nominations,N/A,8.3,89,N/A
Thanksgiving,17 Nov 2023,R,1h 46min,"Horror, Mystery, Thriller",English,1 win & 12 nominations,N/A,6.2,"62,929","$31,908,884"
Biohazard: Death Island,07 Jul 2023,R,1h 31min,"Animation, Action, Horror","Japanese, English",N/A,N/A,5.7,"9,426",N/A
The Crusades,07 Jul 2023,R,1h 41min,"Comedy, Drama",English,N/A,N/A,4.5,288,"$5,887"
The Caine Mutiny Court-Martial,06 Oct 2023,PG-13,1h 49min,"Drama, War",English,3 nominations,N/A,6.8,"5,001",N/A
Big George Foreman,28 Apr 2023,PG-13,2h 9min,"Biography, Drama, Sport",English,N/A,45,6.6,"9,862","$5,426,772"
Aquaman and the Lost Kingdom,22 Dec 2023,PG-13,2h 4min,"Action, Adventure, Fantasy",English,6 nominations,N/A,5.6,"98,484","$124,481,226"
The Girl Who Escaped: The Kara Robinson Story,11 Feb 2023,PG-13,1h 28min,"Crime, Drama, Thriller",English,3 wins & 1 nomination,N/A,6.2,"4,520",N/A
Landscape with Invisible Hand,16 Nov 2023,R,1h 45min,"Comedy, Drama, Sci-Fi",English,N/A,45,6.0,"3,706","$203,403"
Stephen Curry: Underrated,21 Jul 2023,PG-13,1h 50min,"Documentary, Biography, Sport",English,3 nominations,69,7.3,"4,500",N/A
Black Clover: Sword of the Wizard King,16 Jun 2023,PG-13,1h 53min,"Animation, Action, Adventure","Spanish, English, Portuguese, Italian, Polish, Japanese",1 nomination,N/A,7.4,"8,267",N/A
Bert Kreischer: Razzle Dazzle,14 Mar 2023,R,1h 1min,"Documentary, Comedy",English,N/A,N/A,7.0,"1,813",N/A
Guardians of the Galaxy Vol. 3,05 May 2023,PG-13,2h 30min,"Action, Adventure, Comedy",English,Nominated for 1 Oscar. 11 wins & 87 nominations total,64,7.9,"402,022","$358,995,815"
Kountry Wayne: A Woman's Prayer,19 Sep 2023,R,1h 0min,"Documentary, Comedy",English,N/A,N/A,4.7,209,N/A
Priscilla,03 Nov 2023,R,1h 50min,"Biography, Drama, Music",English,5 wins & 35 nominations,N/A,6.5,"41,549","$20,960,939"
Pet Sematary: Bloodlines,06 Oct 2023,R,1h 27min,"Fantasy, Horror",English,1 win & 2 nominations,N/A,4.6,"12,454",N/A
Nyad,03 Nov 2023,PG-13,2h 1min,"Biography, Drama, Sport","English, Spanish",Nominated for 2 Oscars. 9 wins & 37 nominations total,N/A,7.1,"40,945",N/A
John Mulaney: Baby J,25 Apr 2023,R,1h 20min,"Documentary, Comedy",English,Won 1 Primetime Emmy. 2 wins & 3 nominations total,N/A,7.5,"6,670",N/A
Sun Moon,05 May 2023,PG,1h 29min,"Drama, Romance",English,N/A,N/A,5.4,315,N/A
Inside,17 Mar 2023,R,1h 45min,"Drama, Thriller",English,4 wins & 10 nominations,53,5.5,"18,479","$918,415"
A Day and a Half,01 Sep 2023,R,1h 36min,"Action, Drama, Thriller",Swedish,N/A,N/A,5.8,"3,286",N/A
Bed Rest,07 Dec 2022,R,1h 30min,"Drama, Horror, Mystery",English,2 nominations,N/A,5.1,"4,394",N/A
Sisu,28 Apr 2023,R,1h 31min,"Action, War","English, Finnish",10 wins & 10 nominations,70,6.9,"83,207","$7,265,622"
Robots,19 May 2023,R,1h 33min,"Comedy, Romance, Sci-Fi",English,N/A,N/A,5.5,"7,551",N/A
Retribution,25 Aug 2023,R,1h 31min,"Action, Thriller","English, German",1 nomination,N/A,5.3,"23,492","$6,937,696"
Million to One,12 Sep 2023,PG,1h 13min,"Comedy, Drama, Romance",English,N/A,N/A,N/A,77,N/A
The Murderer,27 Jul 2023,R,2h 0min,"Comedy, Crime, Mystery","Thai, English",N/A,N/A,6.1,"1,138",N/A
The Creator,29 Sep 2023,PG-13,2h 14min,"Action, Adventure, Drama","English, Thai",Nominated for 2 Oscars. 13 wins & 42 nominations total,N/A,6.7,"173,191","$40,774,679"
The Lost Century: And How to Reclaim It,06 Jun 2023,G,1h 46min,Documentary,English,N/A,N/A,7.6,823,N/A
Frank Capra: Mr America,01 Sep 2023,PG-13,1h 33min,Documentary,English,1 nomination,N/A,N/A,N/A,N/A
Locked In,19 Jan 2023,R,1h 17min,"Mystery, Thriller",English,N/A,N/A,N/A,18,N/A
Infidelity,03 Mar 2023,R,1h 29min,Drama,English,N/A,N/A,N/A,67,N/A
Amityville Ripper,21 Oct 2023,R,1h 19min,"Comedy, Horror",English,N/A,N/A,3.2,133,N/A
What Lies Under the Tree,08 Dec 2023,PG-13,1h 33min,Horror,English,N/A,N/A,4.7,73,N/A
A Season for Family,22 Nov 2023,G,1h 24min,Romance,English,N/A,N/A,7.0,861,N/A
NFL Draft: The Pick is In,2023,PG,1h 28min,Documentary,English,N/A,N/A,N/A,N/A,N/A
Attack of the Tattie-Bogle,27 Oct 2017,PG-13,1h 30min,Horror,English,N/A,N/A,3.5,193,N/A
Back to School with Gus Johnson,18 Feb 2023,PG,44min,Documentary,English,N/A,N/A,N/A,N/A,N/A
Everything Christmas,10 Nov 2023,G,1h 24min,Romance,English,N/A,N/A,6.0,915,N/A
Long Shot Louie,09 Sep 2023,R,1h 27min,"Action, Crime, Drama",English,1 win,N/A,6.2,30,N/A
Between the Rains,10 Jun 2023,PG-13,1h 26min,Documentary,Swahili,3 wins & 3 nominations,N/A,N/A,27,N/A
My Landlord Wants Me Dead,05 Feb 2023,PG-13,1h 28min,Thriller,English,N/A,N/A,4.3,234,N/A
Apple Music Live: Ed Sheeran,10 May 2023,PG,1h 9min,Music,English,N/A,N/A,7.0,80,N/A
Wedding Season,03 Jun 2023,G,1h 24min,"Comedy, Romance",English,N/A,N/A,6.1,700,N/A
American Nightmare: Becoming Cody Rhodes,31 Jul 2023,PG-13,1h 59min,Documentary,English,N/A,N/A,7.8,499,N/A
The Domino Revival,24 Oct 2023,PG-13,2h 5min,Documentary,English,N/A,N/A,6.0,510,"$851,398"
Nguyen,2023,R,1h 25min,Documentary,English,3 wins & 1 nomination,N/A,N/A,N/A,N/A
As We Know It,30 Nov 2023,R,1h 24min,"Comedy, Horror, Romance",English,N/A,N/A,4.4,215,N/A
River of Freedom,07 Sep 2023,PG-13,2h 34min,Documentary,English,N/A,N/A,6.4,242,N/A
Homecoming,2023,PG,58min,Documentary,Persian,N/A,N/A,N/A,N/A,N/A
Sashiyum Sakunthalayum,18 Aug 2023,G,2h 2min,Comedy,Malayalam,N/A,N/A,N/A,408,N/A
Fables for the Witching Hour,01 Mar 2023,PG-13,1h 22min,Horror,English,N/A,N/A,3.9,83,N/A
The Last Deal,07 Feb 2023,R,1h 31min,"Action, Crime, Thriller",English,2 wins,N/A,4.6,"1,885",N/A
Hussle Game,21 Apr 2023,PG-13,1h 41min,Drama,English,N/A,N/A,N/A,21,N/A
